Data,Valor,Descrição
2026-01-15,-43.71,Rdsaude Online - Parcela 1/3
2026-01-14,-31.12,Lages Point Comercio
2026-01-12,-333.87,Komprao Koch Atacadist
2026-01-12,1027.22,Pagamento recebido
2026-01-11,-82.0,Mp *Gastrobarviki
2026-01-10,-201.68,Lucas Auto Lavaa§A£O e
2026-01-10,-6.0,Hott Tabacaria
2026-01-10,-137.09,Cooper Jaragua Ilha
2026-01-10,-15.0,Tiagodeoliveira
2026-01-10,-33.75,QMS INTERNACIONAL PROGRAMACAO LTDA
2026-01-10,-28.84,Mercado Nilmar
2026-01-10,-10.0,Tiagodeoliveira
2026-01-09,-166.0,Jose Carlos Pereira
2026-01-09,-38.5,Ms Araujo
2026-01-09,-9.9,Lavland Prestes Maia
2026-01-09,-5.0,Hoppin
2026-01-09,-36.9,Mascarenhas
2026-01-09,-19.8,Lavland Prestes Maia
2026-01-08,-23.09,Jairpereiraefaro
2026-01-08,-40.0,Ifd*Biyouz Gastronomia
2026-01-08,-30.0,Zul 30 Cartoes 1uee4t
2026-01-08,-6.0,Poz e Dance Studio
2026-01-08,-13.5,Ld Play Eventos
2026-01-08,-5.0,Hoppin
2026-01-08,-5.0,Hoppin
2026-01-08,-40.0,Aa Valet Park
2026-01-08,-22.0,Administradora
2026-01-08,-30.0,Hoppin
2026-01-07,-6.0,Poz e Dance Studio
2026-01-07,-123.7,Eat Asia
2026-01-07,-6.0,Poz e Dance Studio
2026-01-07,-6.0,Poz e Dance Studio
2026-01-07,-20.0,Poz e Dance Studio
2026-01-07,-10.0,Casa de Ferragens Dias
2026-01-07,-3.7,Mascarenhas
2026-01-07,-5.0,Poz e Dance Studio
2026-01-06,-150.0,Chaveiro Ricardo Jafet
2026-01-06,-30.0,Zul 30 Cartoes 1u8ddt
2026-01-06,-320.0,Jim.Com* Henrique Car
2026-01-05,-5.0,Vox Dance Studio
2026-01-05,-18.0,Wps* Coringa Mada
2026-01-05,-7.0,Wps*Coringa Mada
2026-01-05,-23.1,Conveniencia
2026-01-05,-50.0,Sr Madalena
2026-01-05,-17.5,Padariae
2026-01-05,-40.0,Wps*Coringa
2026-01-05,-3.49,Oxxo Paixao Guido
