date,title,amount
2026-01-15,Rdsaude Online - Parcela 1/3,43.71
2026-01-14,Lages Point Comercio,31.12
2026-01-12,Komprao Koch Atacadist,333.87
2026-01-12,Pagamento recebido,-1027.22
2026-01-11,Mp *Gastrobarviki,82.00
2026-01-10,Lucas Auto Lavaa§A£O e,201.68
2026-01-10,Hott Tabacaria,6.00
2026-01-10,Cooper Jaragua Ilha,137.09
2026-01-10,Tiagodeoliveira,15.00
2026-01-10,QMS INTERNACIONAL PROGRAMACAO LTDA,33.75
2026-01-10,Mercado Nilmar,28.84
2026-01-10,Tiagodeoliveira,10.00
2026-01-09,Jose Carlos Pereira,166.00
2026-01-09,Ms Araujo,38.50
2026-01-09,Lavland Prestes Maia,9.90
2026-01-09,Hoppin,5.00
2026-01-09,Mascarenhas,36.90
2026-01-09,Lavland Prestes Maia,19.80
2026-01-08,Jairpereiraefaro,23.09
2026-01-08,Ifd*Biyouz Gastronomia,40.00
2026-01-08,Zul 30 Cartoes 1uee4t,30.00
2026-01-08,Poz e Dance Studio,6.00
2026-01-08,Ld Play Eventos,13.50
2026-01-08,Hoppin,5.00
2026-01-08,Hoppin,5.00
2026-01-08,Aa Valet Park,40.00
2026-01-08,Administradora,22.00
2026-01-08,Hoppin,30.00
2026-01-07,Poz e Dance Studio,6.00
2026-01-07,Eat Asia,123.70
2026-01-07,Poz e Dance Studio,6.00
2026-01-07,Poz e Dance Studio,6.00
2026-01-07,Poz e Dance Studio,20.00
2026-01-07,Casa de Ferragens Dias,10.00
2026-01-07,Mascarenhas,3.70
2026-01-07,Poz e Dance Studio,5.00
2026-01-06,Chaveiro Ricardo Jafet,150.00
2026-01-06,Zul 30 Cartoes 1u8ddt,30.00
2026-01-06,Jim.Com* Henrique Car,320.00
2026-01-05,Vox Dance Studio,5.00
2026-01-05,Wps* Coringa Mada,18.00
2026-01-05,Wps*Coringa Mada,7.00
2026-01-05,Conveniencia,23.10
2026-01-05,Sr Madalena,50.00
2026-01-05,Padariae,17.50
2026-01-05,Wps*Coringa,40.00
2026-01-05,Oxxo Paixao Guido,3.49
