Data,Valor,Descrição
01/11/2025,-24.0,MP*CALDO
01/11/2025,-53.23,COOPER JARAGUA IL
01/11/2025,-62.74,SACOLAO POPULAR COMERCI
01/11/2025,-33.26,SORVETES SPESSATTO
01/11/2025,-54.98,CASA CHINA
01/11/2025,-39.5,MICROSOFT*STORE
02/10/2025,-4.25,NEW CHANG
02/10/2025,-47.9,XISARIA GAUCHA LTDA
02/11/2025,-50.0,YUZER T*NUVEM BAR E CH
04/10/2025,-3.99,MARCELO GUSTAVO VIECEL
04/10/2025,-74.9,PIZZA INSANA
04/10/2025,-16.99,MARCELO GUSTAVO VIECEL
05/10/2025,-217.78,COOPER JARAGUA IL
05/10/2025,-66.0,QUINTAL CAPREZII
05/10/2025,-3.99,POSTO FL 47
05/10/2025,-783.51,KOMPRAO KOCH ATACADIST
05/10/2025,-42.9,COOPER FARMACIA I
05/10/2025,-40.0,WPS*PAU DA VIOLA PATIO
05/10/2025,-8.0,WPS*PAU DA VIOLA PATIO
05/10/2025,-48.53,SACOLAO POPULAR COMERCI
05/10/2025,-8.0,WPS*PAU DA VIOLA PATIO
06/10/2025,-120.0,AVALON PSICOLOGIA
07/10/2025,-20.9,NETFLIX.COM
07/10/2025,-39.34,PRINCIPIAES
07/10/2025,-66.67,GABRIELVANDERBROO
09/10/2025,-114.29,ARRIBA! MEXICAN BAR
09/10/2025,-99.99,GOOGLE ONE
10/10/2025,4486.27,Pagamentos Validos Normais
11/10/2025,-32.1,MERCADOLIVRE*CFKWIMPORTS
11/10/2025,-59.99,MICROSOFT*XBOX GAME PASS
11/10/2025,-67.72,MERCADOLIVRE*HUICHUNZHOU2
11/10/2025,-16.99,IMPERIO CONVENIENCIA E
12/10/2025,-105.0,ELEVEN360
12/10/2025,-1.0,ELEVEN TICKETS LT
12/10/2025,-74.9,PIZZA INSANA
12/10/2025,-70.0,ELEVEN TICKETS LT
12/10/2025,-23.9,EBN*SPOTIFY
12/10/2025,-29.0,ELEVEN TICKETS LT
13/10/2025,-120.0,AVALON PSICOLOGIA
13/10/2025,-17.02,PANIFICADORA E CONFEITA
15/10/2025,-2.45,NEW CHANG
15/10/2025,-17.34,UBER* PENDING
15/10/2025,-19.34,UBER * PENDING
15/10/2025,-1.65,BRCOMBOS ALIMENTACAO
16/10/2025,-44.9,FARMACIA PRECO PO
16/10/2025,-154.73,COOPER JARAGUA IL
17/10/2025,-3.0,NEW CHANG
17/10/2025,-3.7,BRCOMBOS ALIMENTACAO
18/10/2025,-27.37,54.459.328 MARINEI TAISE
18/10/2025,-12.6,54.459.328 MARINEI TAISE
19/08/2025,-1000.0,L'SANTE
19/09/2025,-123.42,LOCALIZA
19/09/2025,225.23,LOCALIZA
19/09/2025,4.42,LOCALIZA
19/10/2025,-5.0,TIAGODEOLIVEIRA
19/10/2025,-28.95,POSTO LF 40
20/10/2025,-4.5,BRCOMBOS ALIMENTACAO
21/10/2025,-120.0,AVALON PSICOLOGIA
21/10/2025,-99.28,RESTAURANTEE
21/10/2025,-2.45,NEW CHANG
21/10/2025,-21.66,UBER* TRIP
22/10/2025,-1.65,BRCOMBOS ALIMENTACAO
22/10/2025,-17.37,KONFECT PADARIA E CONF
22/10/2025,-23.8,PANIFICADORA E CONFEITA
23/10/2025,-6.57,TECNOPAN FIGUEIRA
23/10/2025,-3.7,BRCOMBOS ALIMENTACAO
24/09/2025,-62.47,LIVE
24/10/2025,-14.49,CENTENARIO CONVENIEN
24/10/2025,-75.0,PIZZA INSANA
25/10/2025,-13.0,CANTINA UNIVERSITARIA
25/10/2025,-4.5,CANTINA UNIVERSITARIA
25/10/2025,-30.11,KOMPRAO KOCH ATACADIST
25/10/2025,-16.99,IMPERIO CONVENIENCIA E
25/10/2025,-42.0,MP*PPLANTAODASBE
25/10/2025,-8.0,CANTINA UNIVERSITARIA
25/10/2025,-35.22,COOPER JARAGUA IL
26/10/2025,-15.0,SINNER
26/10/2025,-11.49,IMPERIO CONVENIENCIA E
26/10/2025,-15.0,SINNERS PUB
26/10/2025,-50.0,SINNERS PUB
27/10/2025,-9.9,NEW CHANG
27/10/2025,-4.45,NEW CHANG
27/10/2025,-26.9,GOOGLE YOUTUBE
28/10/2025,-102.82,KOMPRAO KOCH ATACADIST
29/10/2025,-10.97,POSTO FL 03
29/10/2025,-120.0,AVALON PSICOLOGIA
30/10/2025,-4.45,AROMAPRESS MAQUINAS DE
31/10/2025,-69.86,COOPER JARAGUA IL
31/10/2025,-62.5,PIZZA INSANA
31/10/2025,-54.12,KOMPRAO KOCH ATACADIST
31/10/2025,-2.55,AROMAPRESS MAQUINAS DE
31/10/2025,-5.5,SUPER POPULAR
